					decimal inputs									binary inputs									with leading zeros									
			hex data		rnw	addr	data	HFLF	LFLF	Fibers	resets	delay		rnw	addr	data	HFLF	LFLF	Fibers	resets	delay		rnw	addr	data	HFLF	LFLF	Fibers	resets	delay		packet
"{"""", ""1TACCS"", 0x0000, U32L, RW, CSX, ""  0 Set Acceleration Motor 1 ISA"" },"	.		5		0	0	5	0	0	0	3	0		0000	0	101	0	0	0	11	0	1	0000	0000000000000000000000000000	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000000000000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TVELS"", 0x0004, U32L, RW, CSX, ""  1 Set Velocity Motor 1 ISA"" },"	.		A		0	4	10	0	0	0	3	0		0000	100	1010	0	0	0	11	0	1	0000	0000000000000000000000000100	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000000010000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSTPS"", 0x0008, U32L, RW, CSX, ""  2 Set Steps Motor 1 ISA"" },"	.		FF		0	8	255	0	0	0	3	0		0000	1000	11111111	0	0	0	11	0	1	0000	0000000000000000000000001000	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000000100000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TACCS"", 0x000C, U32L, RW, CSX, ""  3 Set Acceleration Motor 2 ISA"" },"	.		5		0	12	5	0	0	0	3	0		0000	1100	101	0	0	0	11	0	1	0000	0000000000000000000000001100	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000000110000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TVELS"", 0x0010, U32L, RW, CSX, ""  4 Set Velocity Motor 2 ISA"" },"	.		A		0	16	10	0	0	0	3	0		0000	10000	1010	0	0	0	11	0	1	0000	0000000000000000000000010000	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000001000000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSTPS"", 0x0014, U32L, RW, CSX, ""  5 Set Steps motor 2 ISA"" },"	.		FF		0	20	255	0	0	0	3	0		0000	10100	11111111	0	0	0	11	0	1	0000	0000000000000000000000010100	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000001010000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TACCS"", 0x0018, U32L, RW, CSX, ""  6 Set Acceleration Motor 3 ISA"" },"	.		5		0	24	5	0	0	0	3	0		0000	11000	101	0	0	0	11	0	1	0000	0000000000000000000000011000	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000001100000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TVELS"", 0x001C, U32L, RW, CSX, ""  7 Set Velocity Motor 3 ISA"" },"	.		A		0	28	10	0	0	0	3	0		0000	11100	1010	0	0	0	11	0	1	0000	0000000000000000000000011100	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000001110000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSTPS"", 0x0020, U32L, RW, CSX, ""  8 Set Steps Motor 3 ISA"" },"	.		FF		0	32	255	0	0	0	3	0		0000	100000	11111111	0	0	0	11	0	1	0000	0000000000000000000000100000	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000010000000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TACCS"", 0x0024, U32L, RW, CSX, ""  9 Set Acceleration Motor 4 ISA"" },"	.		5		0	36	5	0	0	0	3	0		0000	100100	101	0	0	0	11	0		0000	0000000000000000000000100100	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000010010000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TVELS"", 0x0028, U32L, RW, CSX, "" 10 Set Velocity Motor 4 ISA"" },"	.		A		0	40	10	0	0	0	3	0		0000	101000	1010	0	0	0	11	0		0000	0000000000000000000000101000	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000010100000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSTPS"", 0x002C, U32L, RW, CSX, "" 11 Set Steps Motor 4 ISA"" },"	.		FF		0	44	255	0	0	0	3	0		0000	101100	11111111	0	0	0	11	0		0000	0000000000000000000000101100	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000010110000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TACCS"", 0x0030, U32L, RW, CSX, "" 12 Set Acceleration Motor 5 ISA"" },"	.		5		0	48	5	0	0	0	3	0		0000	110000	101	0	0	0	11	0		0000	0000000000000000000000110000	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000011000000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TVELS"", 0x0034, U32L, RW, CSX, "" 13 Set Velocity Motor 5 ISA"" },"	.		A		0	52	10	0	0	0	3	0		0000	110100	1010	0	0	0	11	0		0000	0000000000000000000000110100	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000011010000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSTPS"", 0x0038, U32L, RW, CSX, "" 14 Set Steps Motor 5 ISA"" },"	.		FF		0	56	255	0	0	0	3	0		0000	111000	11111111	0	0	0	11	0		0000	0000000000000000000000111000	00000000000000000000000011111111	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000011100000000000000000000000000011111111000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TACCS"", 0x003C, U32L, RW, CSX, "" 15 Set Acceleration Motor 6 ISA"" },"	.		5		0	60	5	0	0	0	3	0		0000	111100	101	0	0	0	11	0		0000	0000000000000000000000111100	00000000000000000000000000000101	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000011110000000000000000000000000000000101000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TVELS"", 0x0040, U32L, RW, CSX, "" 16 Set Velocity Motor 6 ISA"" },"	.		A		0	64	10	0	0	0	3	0		0000	1000000	1010	0	0	0	11	0		0000	0000000000000000000001000000	00000000000000000000000000001010	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000000100000000000000000000000000000000001010000000000000000000000000001100000000000000000000000000000000
